date,temp,humidity,precip,windspeed,uvindex,avg_e_price,avg_s_price,Station_994,Station_57,Station_1908,Station_1454,Station_1425,Station_1859,Station_2110,Station_1916,Station_980,Station_387,Station_1345,Station_1252,Station_2379,Station_527,Station_1187,Station_2192,Station_669,Station_63,Station_1984,Station_1491,Station_342,Station_267,Station_178,Station_2180,Station_481,Station_807,Station_1389,Station_877,Station_786,Station_851,Station_1642,Station_1899,Station_373,Station_1880,Station_209,Station_258,Station_641,Station_1311,Station_406,Station_482,Station_1197,Station_646,Station_567,Station_1415,Station_573,Station_1397,Station_1760,Station_1253,Station_260,Station_1276,Station_1828,Station_2093,Station_1735,Station_1288,Station_732,Station_1238,Station_327,Station_496,Station_254,Station_1780,Station_230,Station_765,Station_1786,Station_1628,Station_1227,Station_256,Station_1419,Station_1512,Station_558,Station_734,Station_1300,Station_762,Station_1653,Station_1962,Station_452,Station_1861,Station_1064,Station_2108,Station_585
2023/7/1 0:00,17.7,70.64,0,23,0,0.255759537,0.255759537,50,0,45.86666667,13.33333333,13.33333333,14.4,3.880555556,11.30857143,6.4,6.4,6.4,6.933333333,6.4,3.2,13.33333333,2.997701149,23.08896003,13.62436709,12.7,6.4,6.933333333,2.436036036,19.82659268,25.4,10.66666667,11.54448002,6.4,62.4,10.42032223,12.02032223,0,2.844444444,8.486956522,1.369369369,0,3.733333333,7.6,7.657142857,12.8,6.4,5.866666667,5.52009627,12.26666667,6.4,0,0,6.4,6.933333333,12.8,4.047058824,0.655238095,1.462962963,0,3.61025641,0.736507937,6.361904762,6.4,1.392592593,4.705882353,11.73333333,1.6,4.18245614,1.828571429,0,6.4,2.453333333,6.4,5.032108317,0,53.33333333,6.4,0,1.325925926,0.79323181,1.704761905,0.96969697,8.533333333,5.866666667,2.118918919
2023/7/1 1:00,17.5,75.68,0,26.6,0,0.255773323,0.255773323,50,16.66666667,6.4,12.8,12.8,20.26666667,3.902604167,11.30285714,6.933333333,6.933333333,6.4,6.4,6.4,6.4,12.8,3.052873563,23.0113207,13.61097046,12.7,6.4,6.4,2.407207207,19.77600981,25.4,12.8,11.50566035,6.4,22.4,10.38852854,11.98852854,0,3.006060606,9.6,1.340540541,0,3.663768116,7.466666667,8.228571429,12.8,6.4,6.933333333,5.523947052,13.33333333,6.4,0,0,6.4,0.533333333,12.8,4.156862745,0.659047619,1.459259259,0,3.569230769,0.742857143,6.323809524,6.4,1.398518519,4.674509804,11.73333333,1.6,4.126315789,1.942857143,2.133333333,6.4,2.346666667,6.4,5.12873415,0,13.86666667,6.4,0,1.318518519,0.801353638,1.733333333,1.018181818,8.533333333,6.933333333,2.094894895
2023/7/1 2:00,16.8,80.15,0.092,28,0,0.255760467,0.255760467,50,50,6.4,12.8,12.8,19.2,3.924652778,11.29714286,6.4,6.4,6.4,6.4,6.4,6.4,12.8,3.108045977,22.93368136,13.59757384,12.7,6.4,6.4,2.378378378,19.72542694,12.7,12.8,11.46684068,6.4,21.6,10.35673486,11.95673486,0,3.167676768,9.113043478,1.311711712,0,3.594202899,7.333333333,8.8,12.8,6.4,8.533333333,5.527797834,12.8,6.4,0,0,6.4,2.666666667,12.8,4.266666667,0.662857143,1.455555556,0,3.528205128,0.749206349,6.285714286,5.866666667,1.404444444,4.643137255,12.8,1.6,4.070175439,2.057142857,6.4,6.4,2.24,6.4,5.225359983,0,13.86666667,7.466666667,0,1.311111111,0.809475465,1.761904762,1.066666667,8.533333333,6.4,2.070870871
2023/7/1 3:00,16,88.97,0,31.2,0,0.255760404,0.255760404,50,50,6.4,12.8,12.8,17.06666667,3.946701389,11.29142857,6.4,6.4,6.4,6.4,6.4,6.4,12.8,3.163218391,22.85604203,13.58417722,12.7,6.4,6.4,2.34954955,19.67484407,12.7,12.8,11.42802101,6.4,20.8,10.32494118,11.92494118,0,3.329292929,9.15942029,1.282882883,0,3.524637681,7.2,8.304761905,7.466666667,6.4,12.8,5.531648616,12.8,6.4,0,0,6.4,0,12.8,4.693333333,0.666666667,1.451851852,0,3.487179487,0.755555556,6.247619048,4.266666667,1.41037037,4.611764706,12.8,1.6,4.014035088,2.171428571,6.4,5.866666667,2.133333333,6.4,5.321985816,0,13.86666667,4.8,0,1.303703704,0.817597293,1.79047619,1.115151515,8.533333333,6.4,2.046846847
2023/7/1 4:00,16,92.96,0,28.4,0,0.255760295,0.255760295,50,50,6.4,12.8,12.8,9.6,3.96875,11.28571429,6.4,6.4,6.4,6.4,6.4,6.4,12.26666667,3.218390805,22.7784027,13.57078059,12.7,6.4,10.66666667,2.320720721,19.62426119,12.7,12.8,11.38920135,8,19.2,10.2931475,11.8931475,0,3.490909091,9.205797101,1.254054054,0,3.455072464,7.066666667,8.342857143,6.4,5.333333333,12.8,5.535499398,12.8,6.4,0,0,6.4,0,12.8,5.12,0.67047619,1.448148148,0,3.446153846,0.761904762,6.20952381,6.4,1.416296296,4.580392157,12.8,1.6,3.957894737,2.285714286,6.4,0,0,6.4,5.304964539,0,13.86666667,6.4,0,1.296296296,0.82571912,1.819047619,1.163636364,8.533333333,6.4,2.022822823
2023/7/1 5:00,16.1,96.79,0,27.4,0,0.255760147,0.255760147,50,50,6.4,12.8,12.8,6.4,3.990798611,11.28,6.4,6.4,6.4,6.4,6.4,3.2,12.8,3.273563218,22.70076336,13.55738397,12.7,6.4,12.8,2.291891892,19.57367832,12.7,12.8,11.35038168,12.8,19.2,10.26135382,11.86135382,0,3.652525253,9.252173913,1.225225225,3.733333333,3.385507246,6.933333333,8.380952381,6.4,4.8,12.8,5.539350181,12.8,6.4,0,0,6.4,0,12.8,5.546666667,0.674285714,1.444444444,0,3.405128205,0.768253968,6.171428571,6.4,1.422222222,4.549019608,12.8,1.6,3.901754386,2.4,6.4,0,0,6.4,5.287943262,0,13.86666667,6.4,0,1.288888889,0.833840948,1.847619048,1.212121212,8.533333333,6.4,1.998798799
2023/7/1 6:00,16.2,97.51,0,25.1,0,0.255759865,0.255759865,50,50,6.4,12.8,12.8,6.4,4.012847222,11.27428571,6.4,6.4,6.4,6.4,6.4,0,12.8,3.328735632,22.62312403,13.54398734,12.7,6.4,12.8,2.263063063,19.52309545,12.7,12.8,11.31156201,12.8,19.2,10.22956014,11.82956014,0,3.814141414,9.298550725,1.196396396,5.866666667,3.315942029,6.4,8.419047619,6.4,6.4,12.8,5.543200963,12.8,4.266666667,0,2.666666667,6.4,0,12.8,5.973333333,0.678095238,1.440740741,0,3.364102564,0.774603175,6.133333333,6.4,1.428148148,4.517647059,12.8,1.6,3.845614035,2.514285714,6.4,0,4.266666667,6.4,5.270921986,0,13.86666667,6.4,2.666666667,1.281481481,0.841962775,1.876190476,1.260606061,8.533333333,6.4,1.974774775
2023/7/1 7:00,16.3,97.74,0,24.4,0,0.255760113,0.255760113,50,37.5,6.4,12.8,12.8,11.2,4.034895833,11.26857143,6.4,6.4,6.4,6.4,6.4,0,12.8,3.383908046,22.5454847,13.53059072,12.7,6.4,12.8,2.234234234,19.47251258,12.7,12.8,11.27274235,12.8,19.2,10.19776646,11.79776646,0,3.975757576,9.344927536,1.167567568,0,3.246376812,6.4,8.457142857,6.4,4.266666667,12.8,5.547051745,12.8,0,0,6.4,6.4,0,12.8,6.4,0.681904762,1.437037037,0,3.323076923,0.780952381,6.095238095,6.4,1.434074074,4.48627451,12.8,1.6,3.789473684,2.628571429,6.4,0,4.121212121,6.4,5.253900709,0,13.86666667,6.4,3.2,1.274074074,0.850084602,1.904761905,1.309090909,8.533333333,6.4,1.950750751
2023/7/1 8:00,16.9,98.51,1.016,21.2,0,0.255760157,0.255760157,62.5,4.166666667,6.4,12.8,12.8,12.8,4.056944444,11.26285714,6.4,6.4,6.4,6.4,6.4,0,12.8,3.43908046,22.46784536,13.51719409,12.7,6.4,6.4,2.205405405,19.42192971,12.7,12.8,11.23392268,12.8,19.2,10.16597278,11.76597278,0,4.137373737,9.391304348,1.138738739,0,3.176811594,5.333333333,8.495238095,6.4,4.266666667,12.8,5.550902527,12.8,0,0,6.4,6.4,0,12.8,6.4,0.685714286,1.433333333,0,3.282051282,0.787301587,6.057142857,6.4,1.44,4.454901961,12.8,1.6,3.733333333,2.742857143,6.4,0,3.975757576,6.4,5.236879433,0,13.86666667,6.4,0,1.266666667,0.85820643,1.933333333,1.357575758,8.533333333,6.4,1.926726727
2023/7/1 9:00,17,99.17,0,25.1,1,0.255759912,0.255759912,50,16.66666667,6.4,12.8,12.8,12.8,4.078993056,11.25714286,6.4,6.4,6.4,6.4,6.4,0,12.8,3.494252874,22.39020603,13.50379747,12.7,6.4,0.533333333,2.176576577,19.37134684,12.7,12.8,11.19510301,12.8,19.2,10.1341791,11.7341791,0,4.298989899,9.437681159,1.10990991,0,3.107246377,0,8.533333333,6.4,3.2,12.8,5.554753309,12.8,0,0,6.4,6.4,0,12.8,6.4,0.68952381,1.42962963,0,3.241025641,0.793650794,6.019047619,6.4,1.445925926,4.423529412,12.8,1.6,3.677192982,2.857142857,3.733333333,0,3.83030303,6.4,5.219858156,0,13.86666667,5.866666667,0,1.259259259,0.866328257,1.961904762,1.406060606,8.533333333,6.4,1.902702703
